Id,PostId,Score,CreationDate,UserId
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
33,73,2,2010-07-19 20:06:56,22.0
112,54,12,2010-07-20 05:28:20,187.0
112,54,12,2010-07-20 05:28:20,187.0
112,54,12,2010-07-20 05:28:20,187.0
143,261,4,2010-07-20 10:02:05,159.0
143,261,4,2010-07-20 10:02:05,159.0
143,261,4,2010-07-20 10:02:05,159.0
143,261,4,2010-07-20 10:02:05,159.0
143,261,4,2010-07-20 10:02:05,159.0
143,261,4,2010-07-20 10:02:05,159.0
191,316,0,2010-07-20 16:02:52,22.0
191,316,0,2010-07-20 16:02:52,22.0
191,316,0,2010-07-20 16:02:52,22.0
191,316,0,2010-07-20 16:02:52,22.0
191,316,0,2010-07-20 16:02:52,22.0
306,450,0,2010-07-21 20:56:10,77.0
306,450,0,2010-07-21 20:56:10,77.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
406,563,0,2010-07-23 20:52:00,196.0
500,615,0,2010-07-25 23:19:04,88.0
500,615,0,2010-07-25 23:19:04,88.0
572,658,1,2010-07-26 20:12:30,88.0
572,658,1,2010-07-26 20:12:30,88.0
989,282,4,2010-08-01 02:58:57,87.0
989,282,4,2010-08-01 02:58:57,87.0
989,282,4,2010-08-01 02:58:57,87.0
989,282,4,2010-08-01 02:58:57,87.0
989,282,4,2010-08-01 02:58:57,87.0
1158,1210,0,2010-08-04 03:16:52,253.0
1158,1210,0,2010-08-04 03:16:52,253.0
1158,1210,0,2010-08-04 03:16:52,253.0
1158,1210,0,2010-08-04 03:16:52,253.0
1158,1210,0,2010-08-04 03:16:52,253.0
1240,1263,0,2010-08-04 22:10:15,196.0
1240,1263,0,2010-08-04 22:10:15,196.0
1240,1263,0,2010-08-04 22:10:15,196.0
1259,1099,1,2010-08-05 01:33:43,
1259,1099,1,2010-08-05 01:33:43,
1259,1099,1,2010-08-05 01:33:43,
1259,1099,1,2010-08-05 01:33:43,
1259,1099,1,2010-08-05 01:33:43,
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1296,1298,0,2010-08-05 12:24:21,762.0
1369,1346,30,2010-08-06 07:15:51,582.0
1369,1346,30,2010-08-06 07:15:51,582.0
1369,1346,30,2010-08-06 07:15:51,582.0
1369,1346,30,2010-08-06 07:15:51,582.0
1397,1365,0,2010-08-06 17:53:04,650.0
1623,1509,0,2010-08-11 14:59:37,667.0
1623,1509,0,2010-08-11 14:59:37,667.0
1623,1509,0,2010-08-11 14:59:37,667.0
1623,1509,0,2010-08-11 14:59:37,667.0
1623,1509,0,2010-08-11 14:59:37,667.0
1623,1509,0,2010-08-11 14:59:37,667.0
1764,1639,2,2010-08-13 14:54:42,485.0
1764,1639,2,2010-08-13 14:54:42,485.0
1764,1639,2,2010-08-13 14:54:42,485.0
1764,1639,2,2010-08-13 14:54:42,485.0
1764,1639,2,2010-08-13 14:54:42,485.0
1780,1573,0,2010-08-13 18:06:57,291.0
1780,1573,0,2010-08-13 18:06:57,291.0
1780,1573,0,2010-08-13 18:06:57,291.0
1780,1573,0,2010-08-13 18:06:57,291.0
2071,1912,0,2010-08-19 17:47:36,795.0
2071,1912,0,2010-08-19 17:47:36,795.0
2159,2007,1,2010-08-22 04:13:00,253.0
2159,2007,1,2010-08-22 04:13:00,253.0
2159,2007,1,2010-08-22 04:13:00,253.0
2159,2007,1,2010-08-22 04:13:00,253.0
2213,2036,0,2010-08-23 20:53:17,1043.0
2213,2036,0,2010-08-23 20:53:17,1043.0
2213,2036,0,2010-08-23 20:53:17,1043.0
2213,2036,0,2010-08-23 20:53:17,1043.0
2213,2036,0,2010-08-23 20:53:17,1043.0
2741,2365,0,2010-09-03 23:45:34,887.0
2741,2365,0,2010-09-03 23:45:34,887.0
2758,2367,1,2010-09-04 17:26:08,88.0
2758,2367,1,2010-09-04 17:26:08,88.0
2967,2355,0,2010-09-08 17:58:26,88.0
2967,2355,0,2010-09-08 17:58:26,88.0
2978,2446,0,2010-09-08 21:24:18,603.0
2978,2446,0,2010-09-08 21:24:18,603.0
2978,2446,0,2010-09-08 21:24:18,603.0
2978,2446,0,2010-09-08 21:24:18,603.0
2978,2446,0,2010-09-08 21:24:18,603.0
3187,2560,0,2010-09-13 02:08:49,386.0
3187,2560,0,2010-09-13 02:08:49,386.0
3187,2560,0,2010-09-13 02:08:49,386.0
3187,2560,0,2010-09-13 02:08:49,386.0
3287,1234,0,2010-09-14 13:39:17,127.0
3601,2892,0,2010-09-20 10:32:13,930.0
3601,2892,0,2010-09-20 10:32:13,930.0
3978,3081,0,2010-09-26 20:40:59,919.0
3978,3081,0,2010-09-26 20:40:59,919.0
4071,3145,2,2010-09-28 18:05:48,795.0
4071,3145,2,2010-09-28 18:05:48,795.0
4071,3145,2,2010-09-28 18:05:48,795.0
4071,3145,2,2010-09-28 18:05:48,795.0
4071,3145,2,2010-09-28 18:05:48,795.0
4108,3066,0,2010-09-29 06:57:13,1443.0
4108,3066,0,2010-09-29 06:57:13,1443.0
4108,3066,0,2010-09-29 06:57:13,1443.0
4184,3066,0,2010-09-30 08:58:11,1443.0
4184,3066,0,2010-09-30 08:58:11,1443.0
4184,3066,0,2010-09-30 08:58:11,1443.0
4184,3066,0,2010-09-30 08:58:11,1443.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4294,3251,0,2010-10-02 07:46:42,603.0
4472,3372,0,2010-10-06 21:24:31,603.0
4472,3372,0,2010-10-06 21:24:31,603.0
4472,3372,0,2010-10-06 21:24:31,603.0
4498,3376,1,2010-10-07 08:50:21,88.0
4498,3376,1,2010-10-07 08:50:21,88.0
4498,3376,1,2010-10-07 08:50:21,88.0
4498,3376,1,2010-10-07 08:50:21,88.0
4498,3376,1,2010-10-07 08:50:21,88.0
4615,3447,0,2010-10-09 18:15:32,930.0
4615,3447,0,2010-10-09 18:15:32,930.0
4615,3447,0,2010-10-09 18:15:32,930.0
4615,3447,0,2010-10-09 18:15:32,930.0
4693,3381,0,2010-10-11 16:40:54,557.0
4693,3381,0,2010-10-11 16:40:54,557.0
4888,3593,0,2010-10-14 08:11:47,930.0
4888,3593,0,2010-10-14 08:11:47,930.0
4888,3593,0,2010-10-14 08:11:47,930.0
4888,3593,0,2010-10-14 08:11:47,930.0
4888,3593,0,2010-10-14 08:11:47,930.0
4888,3593,0,2010-10-14 08:11:47,930.0
4997,3643,0,2010-10-15 17:57:04,251.0
4997,3643,0,2010-10-15 17:57:04,251.0
4997,3643,0,2010-10-15 17:57:04,251.0
4997,3643,0,2010-10-15 17:57:04,251.0
4997,3643,0,2010-10-15 17:57:04,251.0
5027,3644,0,2010-10-15 20:23:35,1381.0
5027,3644,0,2010-10-15 20:23:35,1381.0
5027,3644,0,2010-10-15 20:23:35,1381.0
5183,3725,0,2010-10-18 22:26:47,88.0
5183,3725,0,2010-10-18 22:26:47,88.0
5185,3731,1,2010-10-19 01:46:20,159.0
5185,3731,1,2010-10-19 01:46:20,159.0
5405,3814,0,2010-10-20 19:14:34,930.0
5405,3814,0,2010-10-20 19:14:34,930.0
5695,3977,3,2010-10-25 20:29:24,5.0
5695,3977,3,2010-10-25 20:29:24,5.0
5695,3977,3,2010-10-25 20:29:24,5.0
5695,3977,3,2010-10-25 20:29:24,5.0
5719,3980,0,2010-10-26 12:43:51,
5719,3980,0,2010-10-26 12:43:51,
5719,3980,0,2010-10-26 12:43:51,
5719,3980,0,2010-10-26 12:43:51,
5719,3980,0,2010-10-26 12:43:51,
5846,3992,0,2010-10-28 07:16:56,1637.0
5846,3992,0,2010-10-28 07:16:56,1637.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
5904,229,3,2010-10-29 13:32:30,919.0
