Id,PostHistoryTypeId,PostId,CreationDate,UserId
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
33,2,12,2010-07-19 19:18:41,5.0
69,2,30,2010-07-19 19:28:34,69.0
69,2,30,2010-07-19 19:28:34,69.0
69,2,30,2010-07-19 19:28:34,69.0
69,2,30,2010-07-19 19:28:34,69.0
69,2,30,2010-07-19 19:28:34,69.0
69,2,30,2010-07-19 19:28:34,69.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
195,5,43,2010-07-19 20:24:23,74.0
275,1,130,2010-07-19 21:26:27,90.0
275,1,130,2010-07-19 21:26:27,90.0
275,1,130,2010-07-19 21:26:27,90.0
275,1,130,2010-07-19 21:26:27,90.0
275,1,130,2010-07-19 21:26:27,90.0
275,1,130,2010-07-19 21:26:27,90.0
364,1,168,2010-07-19 23:26:44,8.0
364,1,168,2010-07-19 23:26:44,8.0
364,1,168,2010-07-19 23:26:44,8.0
364,1,168,2010-07-19 23:26:44,8.0
683,6,242,2010-07-20 15:53:21,5.0
683,6,242,2010-07-20 15:53:21,5.0
683,6,242,2010-07-20 15:53:21,5.0
858,16,393,2010-07-21 09:02:11,-1.0
858,16,393,2010-07-21 09:02:11,-1.0
862,2,395,2010-07-21 10:13:25,210.0
862,2,395,2010-07-21 10:13:25,210.0
862,2,395,2010-07-21 10:13:25,210.0
862,2,395,2010-07-21 10:13:25,210.0
862,2,395,2010-07-21 10:13:25,210.0
862,2,395,2010-07-21 10:13:25,210.0
985,2,463,2010-07-21 20:29:12,90.0
985,2,463,2010-07-21 20:29:12,90.0
985,2,463,2010-07-21 20:29:12,90.0
985,2,463,2010-07-21 20:29:12,90.0
985,2,463,2010-07-21 20:29:12,90.0
985,2,463,2010-07-21 20:29:12,90.0
1045,3,492,2010-07-22 11:31:16,210.0
1045,3,492,2010-07-22 11:31:16,210.0
1045,3,492,2010-07-22 11:31:16,210.0
1082,16,485,2010-07-22 14:06:03,183.0
1082,16,485,2010-07-22 14:06:03,183.0
1082,16,485,2010-07-22 14:06:03,183.0
1082,16,485,2010-07-22 14:06:03,183.0
1082,16,485,2010-07-22 14:06:03,183.0
1082,16,485,2010-07-22 14:06:03,183.0
1097,2,520,2010-07-22 16:33:43,190.0
1097,2,520,2010-07-22 16:33:43,190.0
1097,2,520,2010-07-22 16:33:43,190.0
1097,2,520,2010-07-22 16:33:43,190.0
1097,2,520,2010-07-22 16:33:43,190.0
1097,2,520,2010-07-22 16:33:43,190.0
1105,2,524,2010-07-22 18:25:54,
1105,2,524,2010-07-22 18:25:54,
1105,2,524,2010-07-22 18:25:54,
1105,2,524,2010-07-22 18:25:54,
1231,2,584,2010-07-24 00:44:43,240.0
1511,6,25,2010-07-26 23:38:29,69.0
1511,6,25,2010-07-26 23:38:29,69.0
1511,6,25,2010-07-26 23:38:29,69.0
1669,3,779,2010-07-27 13:49:41,463.0
1669,3,779,2010-07-27 13:49:41,463.0
1669,3,779,2010-07-27 13:49:41,463.0
1706,5,797,2010-07-27 15:25:00,
1706,5,797,2010-07-27 15:25:00,
1706,5,797,2010-07-27 15:25:00,
1706,5,797,2010-07-27 15:25:00,
1706,5,797,2010-07-27 15:25:00,
1706,5,797,2010-07-27 15:25:00,
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1843,5,677,2010-07-28 02:40:52,74.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1874,5,812,2010-07-28 07:14:14,223.0
1919,13,889,2010-07-28 12:22:08,
1919,13,889,2010-07-28 12:22:08,
1919,13,889,2010-07-28 12:22:08,
1919,13,889,2010-07-28 12:22:08,
2078,2,968,2010-07-29 10:57:18,1356.0
2078,2,968,2010-07-29 10:57:18,1356.0
2078,2,968,2010-07-29 10:57:18,1356.0
2078,2,968,2010-07-29 10:57:18,1356.0
2078,2,968,2010-07-29 10:57:18,1356.0
2101,3,977,2010-07-29 13:43:53,210.0
2101,3,977,2010-07-29 13:43:53,210.0
2101,3,977,2010-07-29 13:43:53,210.0
2160,2,1012,2010-07-29 21:29:57,196.0
2160,2,1012,2010-07-29 21:29:57,196.0
2160,2,1012,2010-07-29 21:29:57,196.0
2160,2,1012,2010-07-29 21:29:57,196.0
2272,2,1051,2010-07-30 21:15:43,251.0
2272,2,1051,2010-07-30 21:15:43,251.0
2272,2,1051,2010-07-30 21:15:43,251.0
2318,16,1064,2010-07-31 15:36:12,-1.0
2318,16,1064,2010-07-31 15:36:12,-1.0
2318,16,1064,2010-07-31 15:36:12,-1.0
2318,16,1064,2010-07-31 15:36:12,-1.0
2413,5,1095,2010-08-01 23:10:57,282.0
2413,5,1095,2010-08-01 23:10:57,282.0
2413,5,1095,2010-08-01 23:10:57,282.0
2413,5,1095,2010-08-01 23:10:57,282.0
2413,5,1095,2010-08-01 23:10:57,282.0
2449,2,1113,2010-08-02 14:56:35,442.0
2449,2,1113,2010-08-02 14:56:35,442.0
2616,2,1196,2010-08-03 20:26:23,666.0
2616,2,1196,2010-08-03 20:26:23,666.0
2616,2,1196,2010-08-03 20:26:23,666.0
2616,2,1196,2010-08-03 20:26:23,666.0
2728,2,1248,2010-08-04 15:57:30,279.0
2728,2,1248,2010-08-04 15:57:30,279.0
2728,2,1248,2010-08-04 15:57:30,279.0
2778,3,1268,2010-08-04 20:51:04,170.0
2778,3,1268,2010-08-04 20:51:04,170.0
2822,5,609,2010-08-05 05:35:45,223.0
2822,5,609,2010-08-05 05:35:45,223.0
2822,5,609,2010-08-05 05:35:45,223.0
2822,5,609,2010-08-05 05:35:45,223.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3421,2,1505,2010-08-10 15:29:25,287.0
3480,5,546,2010-08-11 08:54:25,509.0
3480,5,546,2010-08-11 08:54:25,509.0
3480,5,546,2010-08-11 08:54:25,509.0
3480,5,546,2010-08-11 08:54:25,509.0
3480,5,546,2010-08-11 08:54:25,509.0
3508,2,1536,2010-08-11 12:51:51,
3577,2,1563,2010-08-11 22:10:15,511.0
3577,2,1563,2010-08-11 22:10:15,511.0
3577,2,1563,2010-08-11 22:10:15,511.0
3577,2,1563,2010-08-11 22:10:15,511.0
3577,2,1563,2010-08-11 22:10:15,511.0
3577,2,1563,2010-08-11 22:10:15,511.0
3642,2,1594,2010-08-12 10:20:31,702.0
3642,2,1594,2010-08-12 10:20:31,702.0
3747,5,1632,2010-08-13 05:37:13,251.0
3785,5,1646,2010-08-13 12:50:59,183.0
