Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
70,33,2,2010-07-19 00:00:00,,
181,26,2,2010-07-19 00:00:00,,
393,168,2,2010-07-20 00:00:00,,
393,168,2,2010-07-20 00:00:00,,
393,168,2,2010-07-20 00:00:00,,
393,168,2,2010-07-20 00:00:00,,
424,166,2,2010-07-20 00:00:00,,
424,166,2,2010-07-20 00:00:00,,
424,166,2,2010-07-20 00:00:00,,
424,166,2,2010-07-20 00:00:00,,
501,216,2,2010-07-20 00:00:00,,
501,216,2,2010-07-20 00:00:00,,
501,216,2,2010-07-20 00:00:00,,
501,216,2,2010-07-20 00:00:00,,
593,232,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
628,261,2,2010-07-20 00:00:00,,
721,178,2,2010-07-20 00:00:00,,
721,178,2,2010-07-20 00:00:00,,
721,178,2,2010-07-20 00:00:00,,
731,244,2,2010-07-20 00:00:00,,
731,244,2,2010-07-20 00:00:00,,
731,244,2,2010-07-20 00:00:00,,
731,244,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
907,331,2,2010-07-20 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1195,446,2,2010-07-21 00:00:00,,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1394,485,5,2010-07-22 00:00:00,116.0,
1502,292,2,2010-07-22 00:00:00,,
1502,292,2,2010-07-22 00:00:00,,
1502,292,2,2010-07-22 00:00:00,,
1502,292,2,2010-07-22 00:00:00,,
1502,292,2,2010-07-22 00:00:00,,
1565,411,2,2010-07-23 00:00:00,,
1565,411,2,2010-07-23 00:00:00,,
1565,411,2,2010-07-23 00:00:00,,
1565,411,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1566,409,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1587,435,2,2010-07-23 00:00:00,,
1804,577,5,2010-07-25 00:00:00,196.0,
1804,577,5,2010-07-25 00:00:00,196.0,
1832,413,2,2010-07-25 00:00:00,,
1832,413,2,2010-07-25 00:00:00,,
1832,413,2,2010-07-25 00:00:00,,
1832,413,2,2010-07-25 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2162,628,1,2010-07-26 00:00:00,,
2223,692,2,2010-07-27 00:00:00,,
2223,692,2,2010-07-27 00:00:00,,
2311,144,2,2010-07-27 00:00:00,,
2311,144,2,2010-07-27 00:00:00,,
2311,144,2,2010-07-27 00:00:00,,
2311,144,2,2010-07-27 00:00:00,,
2328,755,2,2010-07-27 00:00:00,,
2328,755,2,2010-07-27 00:00:00,,
2328,755,2,2010-07-27 00:00:00,,
2328,755,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2392,628,2,2010-07-27 00:00:00,,
2645,229,2,2010-07-27 00:00:00,,
2645,229,2,2010-07-27 00:00:00,,
2696,665,2,2010-07-28 00:00:00,,
2748,884,2,2010-07-28 00:00:00,,
2748,884,2,2010-07-28 00:00:00,,
2748,884,2,2010-07-28 00:00:00,,
2795,827,2,2010-07-28 00:00:00,,
2795,827,2,2010-07-28 00:00:00,,
2795,827,2,2010-07-28 00:00:00,,
2795,827,2,2010-07-28 00:00:00,,
2885,930,11,2010-07-28 00:00:00,,
2885,930,11,2010-07-28 00:00:00,,
3095,421,5,2010-07-29 00:00:00,597.0,
3095,421,5,2010-07-29 00:00:00,597.0,
3095,421,5,2010-07-29 00:00:00,597.0,
3095,421,5,2010-07-29 00:00:00,597.0,
3509,1086,2,2010-08-01 00:00:00,,
3509,1086,2,2010-08-01 00:00:00,,
