Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
196,1,2010-07-20 02:17:24,19,4090.0,87.0,6.0,2,12.0,9007.0
317,2,2010-07-20 15:21:01,18,,56.0,,0,,
317,2,2010-07-20 15:21:01,18,,56.0,,0,,
317,2,2010-07-20 15:21:01,18,,56.0,,0,,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
359,1,2010-07-20 23:28:49,9,425.0,90.0,2.0,1,4.0,
398,2,2010-07-21 11:16:55,14,,5.0,,1,,
398,2,2010-07-21 11:16:55,14,,5.0,,1,,
398,2,2010-07-21 11:16:55,14,,5.0,,1,,
463,2,2010-07-21 20:29:12,5,,90.0,,0,,
463,2,2010-07-21 20:29:12,5,,90.0,,0,,
463,2,2010-07-21 20:29:12,5,,90.0,,0,,
463,2,2010-07-21 20:29:12,5,,90.0,,0,,
463,2,2010-07-21 20:29:12,5,,90.0,,0,,
527,1,2010-07-22 21:15:52,6,2504.0,114.0,6.0,2,2.0,930.0
527,1,2010-07-22 21:15:52,6,2504.0,114.0,6.0,2,2.0,930.0
527,1,2010-07-22 21:15:52,6,2504.0,114.0,6.0,2,2.0,930.0
527,1,2010-07-22 21:15:52,6,2504.0,114.0,6.0,2,2.0,930.0
527,1,2010-07-22 21:15:52,6,2504.0,114.0,6.0,2,2.0,930.0
560,2,2010-07-23 16:36:50,9,,5.0,,2,,
560,2,2010-07-23 16:36:50,9,,5.0,,2,,
560,2,2010-07-23 16:36:50,9,,5.0,,2,,
560,2,2010-07-23 16:36:50,9,,5.0,,2,,
560,2,2010-07-23 16:36:50,9,,5.0,,2,,
755,2,2010-07-27 09:44:12,36,,183.0,,1,,183.0
755,2,2010-07-27 09:44:12,36,,183.0,,1,,183.0
755,2,2010-07-27 09:44:12,36,,183.0,,1,,183.0
755,2,2010-07-27 09:44:12,36,,183.0,,1,,183.0
755,2,2010-07-27 09:44:12,36,,183.0,,1,,183.0
822,2,2010-07-27 16:50:45,2,,247.0,,1,,
824,2,2010-07-27 16:56:35,15,,39.0,,2,,39.0
824,2,2010-07-27 16:56:35,15,,39.0,,2,,39.0
824,2,2010-07-27 16:56:35,15,,39.0,,2,,39.0
824,2,2010-07-27 16:56:35,15,,39.0,,2,,39.0
932,2,2010-07-28 18:18:26,3,,,,0,,
932,2,2010-07-28 18:18:26,3,,,,0,,
932,2,2010-07-28 18:18:26,3,,,,0,,
932,2,2010-07-28 18:18:26,3,,,,0,,
932,2,2010-07-28 18:18:26,3,,,,0,,
997,2,2010-07-29 16:50:11,9,,25.0,,2,,25.0
997,2,2010-07-29 16:50:11,9,,25.0,,2,,25.0
997,2,2010-07-29 16:50:11,9,,25.0,,2,,25.0
997,2,2010-07-29 16:50:11,9,,25.0,,2,,25.0
1015,1,2010-07-29 22:03:55,7,699.0,108.0,2.0,2,2.0,930.0
1015,1,2010-07-29 22:03:55,7,699.0,108.0,2.0,2,2.0,930.0
1015,1,2010-07-29 22:03:55,7,699.0,108.0,2.0,2,2.0,930.0
1015,1,2010-07-29 22:03:55,7,699.0,108.0,2.0,2,2.0,930.0
1015,1,2010-07-29 22:03:55,7,699.0,108.0,2.0,2,2.0,930.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1016,1,2010-07-29 22:04:32,8,4921.0,614.0,5.0,0,5.0,8.0
1028,1,2010-07-30 00:55:20,10,3899.0,608.0,4.0,0,8.0,3911.0
1028,1,2010-07-30 00:55:20,10,3899.0,608.0,4.0,0,8.0,3911.0
1028,1,2010-07-30 00:55:20,10,3899.0,608.0,4.0,0,8.0,3911.0
1125,2,2010-08-02 17:15:14,1,,,,0,,
1125,2,2010-08-02 17:15:14,1,,,,0,,
1125,2,2010-08-02 17:15:14,1,,,,0,,
1125,2,2010-08-02 17:15:14,1,,,,0,,
1125,2,2010-08-02 17:15:14,1,,,,0,,
1144,2,2010-08-02 20:48:01,1,,666.0,,2,,
1144,2,2010-08-02 20:48:01,1,,666.0,,2,,
1278,1,2010-08-05 01:24:22,3,5222.0,588.0,2.0,2,,8.0
1278,1,2010-08-05 01:24:22,3,5222.0,588.0,2.0,2,,8.0
1278,1,2010-08-05 01:24:22,3,5222.0,588.0,2.0,2,,8.0
1278,1,2010-08-05 01:24:22,3,5222.0,588.0,2.0,2,,8.0
1439,2,2010-08-09 11:14:34,2,,665.0,,1,,
1439,2,2010-08-09 11:14:34,2,,665.0,,1,,
1439,2,2010-08-09 11:14:34,2,,665.0,,1,,
1439,2,2010-08-09 11:14:34,2,,665.0,,1,,
1472,2,2010-08-09 22:27:53,4,,159.0,,2,,
1472,2,2010-08-09 22:27:53,4,,159.0,,2,,
