Id,UserId,Date
28,24,2010-07-19 19:39:09
28,24,2010-07-19 19:39:09
174,124,2010-07-19 20:59:07
196,142,2010-07-19 21:39:06
196,142,2010-07-19 21:39:06
196,142,2010-07-19 21:39:06
196,142,2010-07-19 21:39:06
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
252,24,2010-07-20 01:24:07
295,174,2010-07-20 05:29:09
295,174,2010-07-20 05:29:09
295,174,2010-07-20 05:29:09
407,24,2010-07-20 16:14:11
407,24,2010-07-20 16:14:11
577,222,2010-07-23 12:53:26
587,251,2010-07-23 18:23:28
587,251,2010-07-23 18:23:28
587,251,2010-07-23 18:23:28
773,158,2010-07-27 09:13:46
773,158,2010-07-27 09:13:46
773,158,2010-07-27 09:13:46
834,172,2010-07-27 14:03:44
834,172,2010-07-27 14:03:44
834,172,2010-07-27 14:03:44
875,480,2010-07-27 18:38:44
942,547,2010-07-28 14:03:54
942,547,2010-07-28 14:03:54
942,547,2010-07-28 14:03:54
942,547,2010-07-28 14:03:54
942,547,2010-07-28 14:03:54
947,553,2010-07-28 14:53:54
947,553,2010-07-28 14:53:54
947,553,2010-07-28 14:53:54
947,553,2010-07-28 14:53:54
1008,582,2010-07-29 16:09:10
1008,582,2010-07-29 16:09:10
1008,582,2010-07-29 16:09:10
1064,89,2010-08-01 09:59:54
1064,89,2010-08-01 09:59:54
1064,89,2010-08-01 09:59:54
1064,89,2010-08-01 09:59:54
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1077,643,2010-08-01 16:39:55
1155,696,2010-08-04 02:15:24
1155,696,2010-08-04 02:15:24
1291,595,2010-08-07 00:52:28
1291,595,2010-08-07 00:52:28
1291,595,2010-08-07 00:52:28
1291,595,2010-08-07 00:52:28
1421,702,2010-08-12 11:04:57
1421,702,2010-08-12 11:04:57
1421,702,2010-08-12 11:04:57
1421,702,2010-08-12 11:04:57
1421,702,2010-08-12 11:04:57
1421,702,2010-08-12 11:04:57
1433,901,2010-08-12 22:19:59
1433,901,2010-08-12 22:19:59
1433,901,2010-08-12 22:19:59
1433,901,2010-08-12 22:19:59
1433,901,2010-08-12 22:19:59
1433,901,2010-08-12 22:19:59
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1453,236,2010-08-13 12:55:01
1548,144,2010-08-17 05:28:45
1548,144,2010-08-17 05:28:45
1548,144,2010-08-17 05:28:45
1548,144,2010-08-17 05:28:45
1596,559,2010-08-18 18:39:06
1596,559,2010-08-18 18:39:06
1596,559,2010-08-18 18:39:06
1613,830,2010-08-19 06:54:22
1613,830,2010-08-19 06:54:22
